CHC Baroli Ahir,Covid Care Centre,Agra
CHC Vrindavan,Covid Care Centre,Mathura
CHC Jasrana,Covid Care Centre,Firozabad
CHC Bhogon,Covid Care Centre,Mainpuri
CHC Harduaganj,Covid Care Centre,Aligarh
"CHC Baghwala,",Covid Care Centre,Etah
CHC Mursan,Covid Care Centre,Hathras
DCH soron,Covid Care Centre,Kasganj
CHC-Kolhukhor,Covid Care Centre,Azamgarh
CHC Basantpur,Covid Care Centre,Ballia
CHC PARDAHA,Covid Care Centre,Mau
CHC Gauriganj,Covid Care Centre,Amethi
CHC Kurwar,Covid Care Centre,Sultanpur
CHC jalalpur,Covid Care Centre,Ambedkarnagar
Mashudha,Covid Care Centre,Ayodhya
CHC Satarik,Covid Care Centre,Barabanki
Bithrichainpur,Covid Care Centre,Bareilly
CHC Ujhani,Covid Care Centre,Badaun
CHC Jahanabad,Covid Care Centre,Pilibhit
CHC-Dadraul,Covid Care Centre,Shahjahanpur
Munderwa,Covid Care Centre,Basti
CHC Birdpur,Covid Care Centre,Siddhartha Nagar
CHC Khalilabad,Covid Care Centre,Santkabir Nagar
CHC Shiv Rampur,Covid Care Centre,Chitrakoot
CHC Kurara,Covid Care Centre,Hamirpur
CHC Panwari,Covid Care Centre,Mahoba
CHC Naraini,Covid Care Centre,Banda
CHC Bhangha,Covid Care Centre,Shrawasti
Memorial Hospital,Covid Care Centre,Balrampur
CHC Chittaura,Covid Care Centre,Bahraich
Pandri kripal,Covid Care Centre,Gonda
"CHC, Chargawan",Covid Care Centre,Gorakhpur
Guari Bazar,Covid Care Centre,Deoria
CHC Mithaura,Covid Care Centre,Mahrajganj
CHC Sapaha,Covid Care Centre,Kushinagar
CHC Konch,Covid Care Centre,Jalaun
CHC Badagaon,Covid Care Centre,Jhansi
CHC Talbehat,Covid Care Centre,Lalitpur
CHC Tirwa,Covid Care Centre,Kannauj
CHC Jaswant Nagar,Covid Care Centre,Etawah
"MCH wing CHC Dibiyapur,",Covid Care Centre,Auraiya
CHC Baraun,Covid Care Centre,Farrukhabad
CHC Gajner,Covid Care Centre,Kanpur Dehat
CHC Sarsaul,Covid Care Centre,Kanpur Nagar
RSM 100 BED DCH,Covid Care Centre,Lucknow
BKT,,
CHC Malihabad,Covid Care Centre,Lucknow
CHC Mohanlalganj,Covid Care Centre,Lucknow
"CHC, Bichhiya",Covid Care Centre,Unnao
CHC Bawan,Covid Care Centre,Hardoi
CHC Khairabad,Covid Care Centre,Sitapur
CHC ROHANIYA,Covid Care Centre,Raibareili
Bhejam,Covid Care Centre,LakhimpurKhiri
Khekra,Covid Care Centre,Bagpat
SSMJ KHURJA,Covid Care Centre,Bulandshahr
JP Hospital Anupshahar,Covid Care Centre,Bulandshahr
CHC- Jani Khurd,Covid Care Centre,Meerut
CHC Bisrakh,Covid Care Centre,GB Nagar
CHC Muradnagar,Covid Care Centre,Ghaziabad
CHC Hapur,Covid Care Centre,Hapur
CHC Milak,Covid Care Centre,Rampur
CHC Narauli,Covid Care Centre,Sambhal
CHC Nazibabad,Covid Care Centre,Bijnor
DWC Hospital,Covid Care Centre,Moradabad
Old building of DCH,Covid Care Centre,Amroha
PHC Manjhanpur- Vistar Patal,Covid Care Centre,Kaushambi
Trauma Centre sadar,Covid Care Centre,Pratapgarh
CHC Thariyaon,Covid Care Centre,Fatehpur
CHC Jhinjhna,Covid Care Centre,Shamli
CHC Makhiyall,Covid Care Centre,Muzaffarnagar
CHC Fatehpur,Covid Care Centre,Saharanpur
CHC Vindhyachal Mirzapur,Covid Care Centre,Mirzapur
CHC Bhadohi,Covid Care Centre,Bhadohi
CHC Madhupur,Covid Care Centre,Sonbhadra
"CHC, mohamadabad",Covid Care Centre,Ghazipur
CHC Bhogawar,Covid Care Centre,Chandauli
CHC,Covid Care Centre,Jaunpur
UCHC Shivpur,Covid Care Centre,Varanasi
Hindustan Engg Collage,Covid Care Centre,Agra
RASA PUBLIC SCHOOL,Covid Care Centre,Agra
Agra Public School,Covid Care Centre,Agra
Neminath Homeopathic,Covid Care Centre,Agra
Medical College,,
"Zee Mount Litera School,",Covid Care Centre,Agra
Shamshabad Road,,
"Global Agra Convent School,",Covid Care Centre,Agra
Shamshabad Road,,
"Army Public School, Agra",Covid Care Centre,Agra
"Anand Engineering College, Kheeth",Covid Care Centre,Agra
IVS SANSKRITI UNVERSITY,Covid Care Centre,Mathura
Chetak Academy,Covid Care Centre,Mathura
S.M Nursing College,Covid Care Centre,Mathura
Dhanvantari Ayurvedic and,Covid Care Centre,Mathura
Hospital,,
Pandit Deen Dayal Upadhyay,Covid Care Centre,Firozabad
Govt. Ashram Padwati Vidyalaya,,
"Mamta Mahavidyalaya, Rehpura",Covid Care Centre,Firozabad
"Awanti Bai Institute of Higher Education, Jarola, Jasrana",Covid Care Centre,Firozabad
Navodaya Vidyalaya Araanv,Covid Care Centre,Firozabad
Daksh Nursing School,Covid Care Centre,Firozabad
CHC Deedamai,Covid Care Centre,Firozabad
J.S. Hospital Shikohabad,Covid Care Centre,Firozabad
"Kiran Saujiya Sr Secondary Academy, Kurawali Road",Covid Care Centre,Mainpuri
Jawahar Navodayay Vidyalaya,Covid Care Centre,Mainpuri
100 Bed Combined Hospital,Covid Care Centre,Aligarh
Jeevan Jyoti Hospital,Covid Care Centre,Aligarh
