District Hospital,Public,Dedicated,Bagalkote
District Hospital,Public,Dedicated,Ballari
Bowring Medical College,Public,Dedicated,Bangalore
RajaRajeshwari Medical College,Private,Dedicated,Bangalore
Victoria Hospital,Public,Dedicated,Bangalore
BIMS,Public Medical College,Dedicated,Belagavi
BRIMS,Public,Dedicated,Bidar
CIMS,Public Medical College,Dedicated,Chamarajnagara
District Hospital,Public,Dedicated,Chikkaballapur
District Hospital,Public,Dedicated,Chikkamagalur
District Hospital,Public,Dedicated,Chitradurga
Chigateri Hospital,Public,Dedicated,Davangere
"KIMS, Hubli",Public,Dedicated,Dharwad
Wenlock Hospital,Public,Dedicated,Dakshina Kannada
GIMS,Public Medical College,Dedicated,Gadag
HIMS,Public Medical College,Dedicated,Hassan
District Hospital,Public,Dedicated,Haveri
ESIC Medical College Hospital,Public,Dedicated,Kalaburagi
"KIMS, Kodagu",Public Medical College,Dedicated,Kodagu
District Hospital,Public,Dedicated,Kolar
"KIMS, Koppala",Public Medical College,Dedicated,Koppal
MIMS,Public Medical College,Dedicated,Mandya
District Hospital,Public,Dedicated,Mysore
Rajiv Gandhi Superspeciality Hospital,Public,Dedicated,Raichur
Kandaya Bhavana,Public,Dedicated,Ramanagar
Mc Gann Hospital,Public Medical College,Dedicated,Shimogga
District Hospital,Public,Dedicated,Tumkur
"Dr. TMA Pai Hospital, Udupi",Private,Dedicated,UDUPI
"KIMS, Karwar",Public,Dedicated,Uttara Kannada
District Hospital,Public,Dedicated,Vijayapura
District Hospital,Public,Dedicated,Yadagiri
