Lotus Hospital,Private Hospitals,COVID Health Center,SPSR NELLORE
"Nellore Hospital, Muthukur Road, Nellore",Private Hospitals,COVID Health Center,SPSR NELLORE
Anasuya Institue of medical Sciences,Private Medical College,COVID Health Center,SPSR NELLORE
District Hospital Tekkali,Govt Hospitals,COVID Health Center,SRIKAKULAM
GMR VARALAKSHMI CARE HOSPITAL - RAJAM,Private Hospitals,COVID Health Center,SRIKAKULAM
DR GOLIVI HOSPITAL - SRIKAKULAM,Private Hospitals,COVID Health Center,SRIKAKULAM
"Santhi Nursing Home, Kiranmouli Shopping Complex, Rama Laxmana Junction",Private Hospitals,COVID Health Center,SRIKAKULAM
GGH Srikakulam,Govt Medical College,COVID Health Center,SRIKAKULAM
M B Multispeciality Hospitals&Visakhapatnam,Private Hospitals,COVID Health Center,VISAKHAPATANAM
Apollo Hospitals Enterprises Ltd - Visakhapatnam,Private Hospitals,COVID Health Center,VISAKHAPATANAM
"NRI Anil Neerukonda Hospital, Sangivalasa",Private Hospitals,COVID Health Center,VISAKHAPATANAM
"Indus Hospital, Jagadamba Junction, Maharani Peta, Visakhapatnam",Private Hospitals,COVID Health Center,VISAKHAPATANAM
Gayatri Vidya Parishad Institute Of Health Care And Medical Technology&Visakhapatnam,Private Hospitals,COVID Health Center,VISAKHAPATANAM
Pushpagiri Eye Hospital,Private Hospitals,COVID Health Center,VIZIANAGARAM
"Gayatri Hospital, Subramanyam Peta, Babametta, Vizianagaram",Private Hospitals,COVID Health Center,VIZIANAGARAM
Queen' s NRI Hospital,Private Hospitals,COVID Health Center,VIZIANAGARAM
District Hospital Vizainagaram,Govt Hospitals,COVID Health Center,VIZIANAGARAM
sri sai super specialty hospital,Private Hospitals,COVID Health Center,VIZIANAGARAM
AH-TADEPALLIGUDEM,Govt Hospitals,COVID Health Center,WEST GODAVARI
District Hospital Eluru,Govt Hospitals,COVID Health Center,WEST GODAVARI
"APPLE HOSPITAL A UNIT OF TANUKU HOSPITAL, TANUKU",Private Hospitals,COVID Health Center,WEST GODAVARI
"Bhimavaram Hospital, J.P.Road,Bhimavaram",Private Hospitals,COVID Health Center,WEST GODAVARI
"New Life Hospital, Palakole",Private Hospitals,COVID Health Center,WEST GODAVARI
AH- PULIVENDULA,Govt Hospitals,COVID Health Center,Y.S.R. KADAPA
"Sunrise Hospital, Kadapa",Private Hospitals,COVID Health Center,Y.S.R. KADAPA
Sri Sri Holistic Hospital - Kadapa,Private Hospitals,COVID Health Center,Y.S.R. KADAPA
DH Proddutur,Govt Hospitals,COVID Health Center,Y.S.R. KADAPA
GGH Kadapa,Govt Medical College,COVID Health Center,Y.S.R. KADAPA
PURNAS REMEDY HOSPITAL & TIRUPATI,Hospital,COVID Care Center,CHITTOOR
RVS hospital and Research Foundation & CHITTOOR,Hospital,COVID Care Center,CHITTOOR
DH Madhanapalli,Hospital,COVID Care Center,CHITTOOR
ANAND BABU HOSPITAL MADANAPALLE,Hospital,COVID Care Center,CHITTOOR
Chandra Mohan Nursing Home Madanapalli,Hospital,COVID Care Center,CHITTOOR
AH KUPPAM,Hospital,COVID Care Center,CHITTOOR
"Area Hospital, Nagari",Hospital,COVID Care Center,CHITTOOR
Rishi Ortho & Trauma Hosp-Chitoor,Hospital,COVID Care Center,CHITTOOR
"Chandra Mohan Nursing Home, Madanapalle",Hospital,COVID Care Center,CHITTOOR
GSL Medical College,Hospital,COVID Care Center,EAST GODAVARI
"VEERAIAH CHOWDAREY HOSPITAL, Narasarao Pet",Hospital,COVID Care Center,GUNTUR
Peoples Trauma And Emergency Hospital,Hospital,COVID Care Center,GUNTUR
TULASI MULTI SEPCLITY HOSPITAL,Hospital,COVID Care Center,GUNTUR
Ahalya NURSING HOME,,,
