Shiva Engineering College (Boys Hostel) Chandpur,Dedicated Covid Care Centres (DCCC),Bilaspur
"Matri Anchal Sadan,Shri Naina Deviji",Dedicated Covid Care Centres (DCCC),Bilaspur
"District Ayurvedic Hospital, Batu",Dedicated Covid Care Centres (DCCC),Chamba
"Tribal Bhawan, Balu\",Dedicated Covid Care Centres (DCCC),Chamba
"Sai Marriage Palace, VPO Dugha, Near Bye Pass",Dedicated Covid Care Centres (DCCC),Hamirpur
Aggarwal Trust Dharamshala Jawalamukhi.,Dedicated Covid Care Centres (DCCC),Kangra
"Panchayti Raj Training Institute, Baijnath",Dedicated Covid Care Centres (DCCC),Kangra
"Water Sports Complex, Pongdam",Dedicated Covid Care Centres (DCCC),Kangra
"Sarai Bhawan, Recong Peo",Dedicated Covid Care Centres (DCCC),Kinnaur
District Ayurvedic Hospital,Dedicated Covid Care Centres (DCCC),Kullu
"Gurudawara, Akhara Bazar",Dedicated Covid Care Centres (DCCC),Kullu
"Abhilashi Ayurvedic College, Chailchowk",Dedicated Covid Care Centres (DCCC),Mandi
"JPH Training Centre, Chhipnu",Dedicated Covid Care Centres (DCCC),Mandi
New Wing CH Rohroo,Dedicated Covid Care Centres (DCCC),Shimla
"State Institute of Educational Management, Shamlaghat",Dedicated Covid Care Centres (DCCC),Shimla
PRTI Mashobra,Dedicated Covid Care Centres (DCCC),Shimla
"State Agriculture Management & Extension Training Institute, Mashobra",Dedicated Covid Care Centres (DCCC),Shimla
"Yatri Niwas ,Trilokpur",Dedicated Covid Care Centres (DCCC),Sirmaur
Labour Hostel Ramshehar Road Nalagarh,Dedicated Covid Care Centres (DCCC),Solan
Farmer's Hostel Dr.YSP UHF Nauni,Dedicated Covid Care Centres (DCCC),Solan
"Old Private School, Viii Devnagar, Bathalag, Arki",Dedicated Covid Care Centres (DCCC),Solan
"Skill Development Centre, Palkawah",Dedicated Covid Care Centres (DCCC),Una
"Multipurpose Bhawan, Khad",Dedicated Covid Care Centres (DCCC),Una
,,
CH Ghumarwin,Dedicated Covid Health Centre (DCHC),Bilaspur
CH Dalhosie,Dedicated Covid Health Centre (DCHC),Chamba
"Charitable Hospital, Bhota",Dedicated Covid Health Centre (DCHC),Hamirpur
ZH Dharamshala,Dedicated Covid Health Centre (DCHC),Kangra
CHC Bhawanagar,Dedicated Covid Health Centre (DCHC),Kinnaur
CH Tegubehar,Dedicated Covid Health Centre (DCHC),Kullu
SLBSGMC Ner Chowk,Dedicated Covid Health Centre (DCHC),Mandi
DDUH Shimla,Dedicated Covid Health Centre (DCHC),Shimla
CH Sarahan,Dedicated Covid Health Centre (DCHC),Sirmaur
"ESI Model Hospital, Katha",Dedicated Covid Health Centre (DCHC),Solan
CH Haroli,Dedicated Covid Health Centre (DCHC),Una
,,
"SLBSGMC , Ner Chowk",Dedicated Hospital (DCH),Bilaspur
ZH Dharamshala,Dedicated Hospital (DCH),Chamba
"SLBSGMC , Ner Chowk",Dedicated Hospital (DCH),Hamirpur
ZH Dharamshala,Dedicated Hospital (DCH),Kangra
DDUH Shimla,Dedicated Hospital (DCH),Kinnaur
SLBSGMC NerChowk,Dedicated Hospital (DCH),Kullu
SLBSGMC NerChowk,Dedicated Hospital (DCH),Mandi
DDUH Shimla,Dedicated Hospital (DCH),Shimla
MMMCH Kumarhatti,Dedicated Hospital (DCH),Sirmaur
MMMCH Kumarhatti,Dedicated Hospital (DCH),Solan
ZH Dharamshala,Dedicated Hospital (DCH),Una
