Mahanadi Medical College,Dedicated COVID Hospitals,Angul
KISS Campus,Dedicated COVID Hospitals,Bolangir
Jyoti Hospital,Dedicated COVID Hospitals,Balasore
"MCH Building, DHH",Dedicated COVID Hospitals,Bargarh
Salandi Hospital,Dedicated COVID Hospitals,Bhadrak
Ashwini Hospital,Dedicated COVID Hospitals,Cuttack
Old DHH,Dedicated COVID Hospitals,Dhenkanal
TATA Medica,Dedicated COVID Hospitals,Ganjam
Centurion University Health Centre,Dedicated COVID Hospitals,Gajapati
"Tata Hospital, Duburi",Dedicated COVID Hospitals,Jajapur
Biju Jatri Nivas,Dedicated COVID Hospitals,Jagatsinghpur
Government Polytechnic Hostel,Dedicated COVID Hospitals,Kendrapara
"SDH, Jeypore",Dedicated COVID Hospitals,Koraput
"Tata Hospital, JODA",Dedicated COVID Hospitals,Keonjhar
GNM Centre,Dedicated COVID Hospitals,Kandhamal
Govt Engineering College,Dedicated COVID Hospitals,Kalahandi
"Kalinga Institute of Medical Sciences, Bhubaneswar",Dedicated COVID Hospitals,Khurda
"SUM Hospital, IMS, Bhubaneswar",Dedicated COVID Hospitals,Khurda
Old DHH Building,Dedicated COVID Hospitals,Jharsuguda
Old DHH,Dedicated COVID Hospitals,Malkangiri
Kiss Campus,Dedicated COVID Hospitals,Mayurbhanj
Chandpur TB Hospital,Dedicated COVID Hospitals,Nayagarh
BEd College Nabrangpur,Dedicated COVID Hospitals,Centre
"Covid Hospital,Nuapada",Dedicated COVID Hospitals,Nuapada
DHH,Dedicated COVID Hospitals,Sambalpur
"Hitech Medical College & Hospital, Rourkela",Dedicated COVID Hospitals,Sundargarh
IDH,Dedicated COVID Health Centre,Puri
Old Jail Campus,Dedicated COVID Health Centre,Boudh
Govt Polytechnic College,Dedicated COVID Health Centre,Deogarh
ESI Hospital,Dedicated COVID Health Centre,Rayagada
Gopabandhu Ayurvedic Medical College,Dedicated COVID Health Centre,Puri
Government ITI,Dedicated COVID Health Centre,Sonepur
NTPC MCH,Dedicated COVID Health Centre,Sundargarh
