"Community Health Centre, Valpoi",Govt,North Goa
"Community Health Centre, pernem",Govt,North Goa
"Government Hospital, Canacona",Govt,South Goa
Health centre bandora,Govt,North Goa
Primary health center velguem,Govt,North Goa
"Community Health Center, canacona",Govt,South Goa
"Primary Health Centre, Cortalim",Govt,South Goa
"Primary Health Centre, Cansaulim",Govt,South Goa
"Primary Health Centre, Loutolim",Govt,South Goa
"Primary Health Centre, Chinchinim",Govt,South Goa
"Primary Health Centre, Curtorim",Govt,South Goa
"Primary Health Centre, Bali",Govt,South Goa
"Primary Health Centre, Quepem",Govt,South Goa
"Primary Health Centre, Sanguem",Govt,South Goa
"Primary Health Centre, Betki",Govt,North Goa
"Primary Health Centre, Shirod",Govt,North Goa
"Primary Health Centre, Marcaim",Govt,North Goa
"Primary Health Centre, Corlim",Govt,North Goa
"Primary Health Centre, Colvale",Govt,North Goa
"Primary Health Centre, Siolim",Govt,North Goa
"Primary Health Centre, Aldona",Govt,North Goa
"Primary Health Centre, Candolim",Govt,North Goa
"Primary Health Centre, Sanquelim",Govt,North Goa
"Primary Health Centre, Cansarvarnem",Govt,North Goa
