Fakhruddin Ali Ahmed Medical College and Hospital (FAAMCH),Govt Medical College,Dedicated COVID Hospital,BARPETA
Silchar Medical College and Hospital,Govt Medical College,Dedicated COVID Hospital,CACHAR
"JSB CIVIL HOSPITAL, KAJALGAON",Govt Hospitals,Dedicated COVID Hospital,CHIRANG
Mangaldai Civil Hospital,Govt Hospitals,Dedicated COVID Hospital,DARRANG
Dhemaji Civil Hospital,Govt Hospitals,Dedicated COVID Hospital,DHEMAJI
Assam Medical College and Hospital,Govt Medical College,Dedicated COVID Hospital,DIBRUGARH
"Civil Hospital, Goalpara",Govt Hospitals,Dedicated COVID Hospital,GOALPARA
SKK CIVIL HOSPITAL,Govt Hospitals,Dedicated COVID Hospital,GOLAGHAT
5 AFH,Central Ministry Hospital,Dedicated COVID Hospital,JORHAT
JORHAT MEDICAL COLLEGE AND HOSPITAL,Govt Medical College,Dedicated COVID Hospital,JORHAT
"Singimari Model Hospital. Dadara, Kamrup",Govt Hospitals,Dedicated COVID Hospital,KAMRUP
SONAPUR DISTRICT HOSPITAL,Govt Hospitals,Dedicated COVID Hospital,KAMRUP METRO
MMCH,Govt Hospitals,Dedicated COVID Hospital,KAMRUP METRO
GAUHATI MEDICAL COLLEGE HOSPITAL,Govt Medical College,Dedicated COVID Hospital,KAMRUP METRO
Diphu Medical College and Hospital (Old Campus),Govt Medical College,Dedicated COVID Hospital,KARBI ANGLONG
R N B Civil Hospital,Govt Hospitals,Dedicated COVID Hospital,KOKRAJHAR
Telahi Model Hospital,Govt Hospitals,Dedicated COVID Hospital,LAKHIMPUR
B.P. CIVIL HOSPITAL,Govt Hospitals,Dedicated COVID Hospital,NAGAON
S M K Civil Hospital,Govt Hospitals,Dedicated COVID Hospital,NALBARI
Sivasagar Civil Hospital,Govt Hospitals,Dedicated COVID Hospital,SIVASAGAR
Tezpur Medical College & Hospital,Govt Medical College,Dedicated COVID Hospital,SONITPUR
Tinsukia Civil Hospital,Govt Hospitals,Dedicated COVID Hospital,TINSUKIA
Udalguri civil hospital,Govt Hospitals,Dedicated COVID Hospital,UDALGURI
Tamulpur CHC,Govt Hospitals,COVID Health Center,BAKSA
Niz Kaurbaha BPHC,Govt Hospitals,COVID Health Center,BAKSA
Barama CHC,Govt Hospitals,COVID Health Center,BAKSA
Golagaon BPHC,Govt Hospitals,COVID Health Center,BAKSA
Jogen Basumatary 30 beded Hospital,Govt Hospitals,COVID Health Center,BAKSA
Tamulpur BPHC,Govt Hospitals,COVID Health Center,BAKSA
Goreswar CHC,Govt Hospitals,COVID Health Center,BAKSA
Nagrijule Model Hospital,Govt Hospitals,COVID Health Center,BAKSA
Jalah CHC,Govt Hospitals,COVID Health Center,BAKSA
Kumarikata SD,Govt Hospitals,COVID Health Center,BAKSA
Salbari Model Hospital,Govt Hospitals,COVID Health Center,BAKSA
Dr.Ravi Boro Civil Hospital,Govt Hospitals,COVID Health Center,BAKSA
Barama Model Hospital,Govt Hospitals,COVID Health Center,BAKSA
SORBHOG CHC,Govt Hospitals,COVID Health Center,BARPETA
HOWLY CHC,Govt Hospitals,COVID Health Center,BARPETA
Pathsala Maternity Hospital,Private Hospitals,COVID Health Center,BARPETA
BHAWANIPUR CHC,Govt Hospitals,COVID Health Center,BARPETA
BHAKTARDOBA MODEL HOSPITAL,Govt Hospitals,COVID Health Center,BARPETA
Chenga PHC,Govt Hospitals,COVID Health Center,BARPETA
BAGHMARA CHC,Govt Hospitals,COVID Health Center,BARPETA
MANDIA MODEL HOSPITAL,Govt Hospitals,COVID Health Center,BARPETA
CHANDMAMA MODEL HOSPITAL,Govt Hospitals,COVID Health Center,BARPETA
Barpeta ROad CHC,Govt Hospitals,COVID Health Center,BARPETA
BHULUKADOBA MG MODEL HOSPITAL,Govt Hospitals,COVID Health Center,BARPETA
MAJGAON MODEL HOSPITAL,Govt Hospitals,COVID Health Center,BARPETA
Barpeta Civil Hospital Kalgachia,Govt Hospitals,COVID Health Center,BARPETA
SARUKHETRI CHC,Govt Hospitals,COVID Health Center,BARPETA
Gohpur SDCH,Govt Hospitals,COVID Health Center,Biswanath
Bargang Model Hospital,Govt Hospitals,COVID Health Center,Biswanath
Biswanath SDCH,Govt Hospitals,COVID Health Center,Biswanath
North Jamuguri,Govt Hospitals,COVID Health Center,Biswanath
Kusumlata Model Hospital,Govt Hospitals,COVID Health Center,Biswanath
Bidyapur CHC,Govt Hospitals,COVID Health Center,BONGAIGAON
"Manikpur Model Hospital, Manikpur",Govt Hospitals,COVID Health Center,BONGAIGAON
"Boitamari Model Hospital, Boitamari",Govt Hospitals,COVID Health Center,BONGAIGAON
Bongaigaon Civil Hospital,Govt Hospitals,COVID Health Center,BONGAIGAON
Abhayapuri FRU,Govt Hospitals,COVID Health Center,BONGAIGAON
Lakhipur BPHC,Govt Hospitals,COVID Health Center,CACHAR
MG Modal Hospital Kachudaram,Govt Hospitals,COVID Health Center,CACHAR
Harinagar BPHC,Govt Hospitals,COVID Health Center,CACHAR
Katigora Model Hospital,Govt Hospitals,COVID Health Center,CACHAR
Borkhola BPHC,Govt Hospitals,COVID Health Center,CACHAR
Kalain CHC,Govt Hospitals,COVID Health Center,CACHAR
Bikrampur PHC,Govt Hospitals,COVID Health Center,CACHAR
M. G. Modal Hospital Palonghat,Govt Hospitals,COVID Health Center,CACHAR
M. G. Modal Hospital Chibitabichia,Govt Hospitals,COVID Health Center,CACHAR
S M DEV CIVIL HOSPITAL,Govt Hospitals,COVID Health Center,CACHAR
MG Modal Hopital Tikol Salganga,Govt Hospitals,COVID Health Center,CACHAR
Udharbond BPHC,Govt Hospitals,COVID Health Center,CACHAR
Sonai BPHC,Govt Hospitals,COVID Health Center,CACHAR
M G Modal Hospital Chotodudpatil,Govt Hospitals,COVID Health Center,CACHAR
CH,Central Ministry Hospital,COVID Health Center,CACHAR
Sonari SDCH,Govt Hospitals,COVID Health Center,CHARAIDEO
Sapekhati BPHC,Govt Hospitals,COVID Health Center,CHARAIDEO
Sapekhati Model Hospital,Govt Hospitals,COVID Health Center,CHARAIDEO
Kanaklata,Private Hospitals,COVID Health Center,CHARAIDEO
Lakwa Model Hospital,Govt Hospitals,COVID Health Center,CHARAIDEO
Sidli BPHC,Govt Hospitals,COVID Health Center,CHIRANG
Ballamguri,Govt Hospitals,COVID Health Center,CHIRANG
Kashikotra Model Hospital,Govt Hospitals,COVID Health Center,CHIRANG
Bengtol,Govt Hospitals,COVID Health Center,CHIRANG
Mahatma Gandhi Subhaijhar Model Hospital,Govt Hospitals,COVID Health Center,CHIRANG
Bhetagaon CHC,Govt Hospitals,COVID Health Center,CHIRANG
DUNI MODEL HOSPITAL,Govt Hospitals,COVID Health Center,DARRANG
DEOMORNOI,Govt Hospitals,COVID Health Center,DARRANG
PATHARIGHAT BPHC,Govt Hospitals,COVID Health Center,DARRANG
BAZNAPATHAR CHC,Govt Hospitals,COVID Health Center,DARRANG
KUNWARI PUKHURI MODEL HOSPITAL,Govt Hospitals,COVID Health Center,DARRANG
JANARAM CHOWKA MODEL HOSPITAL,Govt Hospitals,COVID Health Center,DARRANG
SIPAJHAR FRU,Govt Hospitals,COVID Health Center,DARRANG
KHARUPETIA,Govt Hospitals,COVID Health Center,DARRANG
