Govt. medical college,Public,Dedicated,Thiruvananthapuram
General Hospital,Public,Dedicated,Thiruvananthapuram
Govt. medical college,Public,Dedicated,Kollam
District hospital,Public,Dedicated,Kollam
General Hospital,Public,Dedicated,Pathanamthitta
District hospital,Public,Dedicated,Pathanamthitta
Govt. medical college,Public,Dedicated,Alappuzha
THQH Haripad,Public,Dedicated,Alappuzha
Govt. medical college,Public,Dedicated,Kottayam
District hospital,Public,Dedicated,Kottayam
Govt. medical college,Public,Dedicated,Idukki
District hospital,Public,Dedicated,Idukki
Govt. medical college,Public,Dedicated,Ernakulam
PVS Hospital,Private,Dedicated,Ernakulam
Govt. medical college,Public,Dedicated,Thrissur
General Hospital,Public,Dedicated,Thrissur
District hospital,Public,Dedicated,Palakkad
THQH Ottappalam,Public,Dedicated,Palakkad
Govt. medical college,Public,Dedicated,Malappuram
District hospital,Public,Dedicated,Malappuram
Govt. medical college,Public,Dedicated,Kozhikode
General Hospital,Public,Dedicated,Kozhikode
District hospital,Public,Dedicated,Wayanad
District hospital,Public,Dedicated,Kannur
Govt. medical college,Public,Dedicated,Kannur
District hospital,Public,Dedicated,Kasaragod
General Hospital,Public,Dedicated,Kasaragod
