"AYUSH Hospital, Topshikanta",Governement,Covd Dedicated Hospital,Alipurduar
Onda Super Speciality Hospital,Governement,Covd Dedicated Hospital,Bankura
Medicare General Hospital,Private,Covd Dedicated Hospital,Bankura (Bishnupur HD)
RMYF Royal Nursing Home & Diagonstic Centre,Private,Covd Dedicated Hospital,Birbhum (Rampurhat HD)
Glocal Hospital,Private,Covd Dedicated Hospital,"Birbhum, Bolpur"
Coochbehar Mission Hospital Pvt. Limited,Private,Covd Dedicated Hospital,Coochbehar
Pravas Atreyi Eye Hospital,Private,Covd Dedicated Hospital,Dakshin Dinajpur
Chang Hospital,Private,Covd Dedicated Hospital,Darjeeling
Medica Hospital,Private,Covd Dedicated Hospital,Darjeeling
Medica Cancer Hospital,Private,Covd Dedicated Hospital,Darjeeling
Nivedita Cancer Hospital,Private,Covd Dedicated Hospital,Darjeeling
Desun Hospital,Private,Covd Dedicated Hospital,Darjeeling
Maharaja Agaraden Hospital,Private,Covd Dedicated Hospital,Darjeeling
Seven Rangers Nursing Home,Private,Covd Dedicated Hospital,Hooghly
Arambagh Nursing Home,Private,Covd Dedicated Hospital,Hoogly
Shramajibhi Hospital,Private,Covd Dedicated Hospital,Hoogly
Kamala roy hospital,Private,Covd Dedicated Hospital,Hoogly
"ESI Hospital, Bandel",Governement,Covd Dedicated Hospital,Hoogly
"ESI Hospital, Gourhati",Governement,Covd Dedicated Hospital,Hoogly
Blue view Nursing home,Private,Covd Dedicated Hospital,Hoogly
Satyabala L.D. Hospital,Governement,Covd Dedicated Hospital,Howrah
"ESI Hospital, Batlikuri",Governement,Covd Dedicated Hospital,Howrah
"ESI Hospital, Uluberia",Governement,Covd Dedicated Hospital,Howrah
ILS Hospital Golabari,Private,Covd Dedicated Hospital,Howrah
Sanjiban Hospital,Private,Covd Dedicated Hospital,Howrah
Narayana Hospital,Private,Covd Dedicated Hospital,Howrah
Biswa bangla Krirangan,Governement,Covd Dedicated Hospital,Jalpaiguri
St Joseph's Hospital,Private,Covd Dedicated Hospital,Jhargram
Glocal Hospital,Private,Covd Dedicated Hospital,Malda
Dishari Nursing Hospital,Private,Covd Dedicated Hospital,Malda
Old Matri Sadan Hospital,Governement,Covd Dedicated Hospital,Murshidabad
Monmohan Private Hospital,Private,Covd Dedicated Hospital,Murshidabad
Gitaram Private Hospital,Private,Covd Dedicated Hospital,Murshidabad
Lalbagh Rainbow Nursing Hospital,Private,Covd Dedicated Hospital,Murshidabad
Basumati Healthcare Pvt Ltd,Private,Covd Dedicated Hospital,Murshidabad
Glocal Hospital,Private,Covd Dedicated Hospital,Nadia
SNR Carnival Hospital,Private,Covd Dedicated Hospital,Nadia
GNRC Nursing Home,Private,Covd Dedicated Hospital,North 24 Paragans
Nehru Memorial Techno Global Hospital,Private,Covd Dedicated Hospital,North 24 Paragans
Subodh Memorial Cancer Hospital,Private,Covd Dedicated Hospital,North 24 Paragans
Bibhuti Bhushan Hospital Pvt Ltd,Private,Covd Dedicated Hospital,North 24 Paragans
Al Amin Nursing Home,Private,Covd Dedicated Hospital,North 24 Paragans (Basirhat HD)
Sanaka Medical College & Hospital,Private,Covd Dedicated Hospital,Paschim Bardhamaan
HLG Memorial Hospital,Private,Covd Dedicated Hospital,Paschim Bardhamaan
"Ayush Hospital, Topshikanta",Governement,Covd Dedicated Hospital,Paschim Midnapur
Glocal pvt Hospital,Private,Covd Dedicated Hospital,Paschim Midnapur
Camri Hospital,Private,Covd Dedicated Hospital,Paschim Bardhamaan
Bengal Medica Hospital,Private,Covd Dedicated Hospital,Purba Bardhamaan
Baromaa Hospital Pvt Ltd,Private,Covd Dedicated Hospital,Purba Bardhamaan
Chandipur Multi Speciality Hospital,Private,Covd Dedicated Hospital,Purba Medinipur (Nandigram HD)
R C N Sanjiban Hospital,Private,Covd Dedicated Hospital,Purba Medinipur (Nandigram HD)
Rotary Club Hospital,Private,Covd Dedicated Hospital,Purulia
R. Sinhania Seva Pratisthan Hospital,Private,Covd Dedicated Hospital,Purulia
Saharahat Nursing home,Private,Covd Dedicated Hospital,South 24 Paragans (Diamond Harbour HD)
Maa Durga Nursing Home,Private,Covd Dedicated Hospital,South 24 Paragans
Bharat Sevaram Sangha Hospital,Private,Covd Dedicated Hospital,South 24 Paragans
Budge Budge Institute of Technology,Private,Covd Dedicated Hospital,South 24 Paragans
(Jagannath Gupta Institute of Medical Science),,,
Ishpat Cooperative Hospital,Private,Covd Dedicated Hospital,South 24 Paragans
Canning COVID Hospital,Governement,Covd Dedicated Hospital,South 24 Paragans
ESIC Medical College Hospital,Governement,Covd Dedicated Hospital,South 24 Paragans
Jeevan Rekha Nursing Home,Private,Covd Dedicated Hospital,Uttar Dinajpur
Mikki Megha Hospital,Private,Covd Dedicated Hospital,Uttar Dinajpur
"Cittaranjan National Cancer Institute,",Governement,Covd Dedicated Hospital,State Level
2nd Campus,,,
MR Bangur Hospital,Governement,Covd Dedicated Hospital,State Level
Id&BG Hospital,Governement,Covd Dedicated Hospital,State Level
AMRi Hospital,Private,Covd Dedicated Hospital,State Level
"Desun Hospital & Heart Institute, Kolkata",Private,Covd Dedicated Hospital,State Level
