Satyawadi Raja Harish Chandra,Government,Dedicated Covid Hospital
Safdarjung (SJH),Government,Dedicated Covid Hospital
Ram Manohar Lohia (RML),Government,Dedicated Covid Hospital
Rajiv Gandhi Super Speciality (RGSS),Government,Dedicated Covid Hospital
Lok Nayak (LNJP),Government,Dedicated Covid Hospital
Lady Hardinge Medical College (LHMC),Government,Dedicated Covid Hospital
Guru Teg Bahadur Hospital,Government,Dedicated Covid Hospital
Deep Chand Bandhu Hospital,Government,Dedicated Covid Hospital
AIIMS (Jhajjar),Government,Dedicated Covid Hospital
AIIMS (Delhi),Government,Dedicated Covid Hospital
VIMHANS,Private,Dedicated Covid Hospital
Vikas Hospital,Private,Dedicated Covid Hospital
Venkateshwar,Private,Dedicated Covid Hospital
Universal Centre of Health services,Private,Dedicated Covid Hospital
Tirath Ram Shah Ch. Hospital,Private,Dedicated Covid Hospital
"Tarak Hospital, Uttam Nagar",Private,Dedicated Covid Hospital
"Surya Hospital, Krishna Nagar",Private,Dedicated Covid Hospital
St Stephen's,Private,Dedicated Covid Hospital
Sri Balaji Action,Private,Dedicated Covid Hospital
"SMS Hospital, Gagan Vihar",Private,Dedicated Covid Hospital
Sitaram Bhartia Institute,Private,Dedicated Covid Hospital
Sir Gangaram Hospital,Private,Dedicated Covid Hospital
Sir Ganga Ram Kolmet (SGR Kolmet),Private,Dedicated Covid Hospital
Sir Ganga Ram City (SGR City),Private,Dedicated Covid Hospital
Shri Ram Singh Hospital and Heart Institute,Private,Dedicated Covid Hospital
Shree Aggarasain International Hospital,Private,Dedicated Covid Hospital
Sehgal Neo,Private,Dedicated Covid Hospital
Saroj Super Speciality Hospital,Private,Dedicated Covid Hospital
Santom,Private,Dedicated Covid Hospital
Sant Parmand Hospital,Private,Dedicated Covid Hospital
Sanjeevan Hospital,Private,Dedicated Covid Hospital
"Samar Hospital, Dwarka",Private,Dedicated Covid Hospital
RLKC Metro,Private,Dedicated Covid Hospital
Rathi Hospital Nangloi,Private,Dedicated Covid Hospital
Rajiv Gandhi Cancer Institute and Research Centre (RGCIRC),Private,Dedicated Covid Hospital
