Rajendra Institute of Medical Sciences,Government,Dedicated covid hospital
"PARAS HEC HOSPITAL , DHURWA",Private,Dedicated covid hospital
Sadar hospital ramgarh,Government,Covid care centres
Sadar Hospital Bokaro,Government,Covid care centres
"District Hospital, Purbi Singhbum",Government,Covid care centres
District Hospital Dhanbad,Government,Covid care centres
District Hospital Deoghar,Government,Covid care centres
Sadar Hospital Garhwa,Government,Covid care centres
Sadar Hospital Koderma,Government,Covid care centres
"Sadar Hospital, Latehar",Government,Covid care centres
"Brahmananda Narayana Multispeciality Hospital, Jamshedpur",Government,Covid care centres
"District Hospital,Gumla",Government,Covid care centres
Sadar Hospital,Government,Covid care centres
Dumka Sadar Hospital,Government,Covid care centres
Sadar Hospital Hazaribag,Government,Covid care centres
Clinical Society TMH,Private,Dedicated covid hospital
Uma super speciality hospital,Private,Dedicated covid hospital
