JIPMER,Government,Dedicated covid hospital
IGMCRI,Government,Dedicated covid hospital
RGGWGH,Government,Dedicated covid hospital
IGGGHPGI,Government,Dedicated covid hospital
MGMC,Government,Dedicated covid hospital
AVMC,Government,Dedicated covid hospital
PIMS,Government,Dedicated covid hospital
SVMC,Government,Dedicated covid hospital
GHCD,Government,Dedicated covid hospital
"East Coast Hospitals, Pichaiveerapatnam",Private,covid health centre
"East Coast Hospitals, MG road",Private,covid health centre
New Medical Centre,Private,covid health centre
Kidney Center Hospital,Private,covid health centre
Be Well Hospital Puducherry,Private,covid health centre
Chennai Fertility Center,Private,covid health centre
AUM HOSPITALS,Private,covid health centre
Ashwini Maternity Hospital,Private,covid health centre
Sri Ramachandra Hospital,Private,covid health centre
St. Joseph's Hospital Cluny,Private,covid health centre
Madhavan hospital,Private,covid health centre
Pondy Surgical Centre,Private,covid health centre
L.K. Nursing Home,Private,covid health centre
S S Remedy Hospital,Private,covid health centre
Senthil Women & Child Hospital,Private,covid health centre
Sri Krishna Nursing Home,Private,covid health centre
Apollo Hospitals Information Centre,Private,covid health centre
Rani Hospital Pondicherry- A Multi Speciality Hospital,Private,covid health centre
A.G. Padmavati's Hospital Ltd,Private,covid health centre
V.K.N. Hospital,Private,covid health centre
Dakshin Women Care Hospital and Fertility Center,Private,covid health centre
Mithra Medical Centre,Private,covid health centre
Pudhuvai Life Line,Private,covid health centre
ESIC Main Hospital,Private,covid health centre
Padmavathi Hospital,Private,covid health centre
PKB Hospital Pvt Ltd,Private,covid health centre
Sri Mahalakshmi Nursing Home,Private,covid health centre
St. Joseph's Hospital (Cluny) Out Patients Department,Private,covid health centre
Ram Hospital,Private,covid health centre
PUDUCHERRY CANCER TRUST HOSPITAL & RESEARCH CENTRE,Private,covid health centre
Sri Venkateshwaraa Medical College Hospital & Research Centre,Private,covid health centre
Aarupadai Veedu Hospital,Private,covid health centre
AGATHIYA SIDDHA WELLNESS CENTRE,Private,covid health centre
Puduthurai St.Rock (Cluny) Hospital,Private,covid health centre
