MH,Central,AHMEDNAGAR
,Ministry Hospital,
Booth Hospital,Private Hospitals,AHMEDNAGAR
"Ahmednagar,Pin- 414001",,
AIIMS Hospital,Private Hospitals,AHMEDNAGAR
"Ahmednagar,Pin- 414001",,
"DISTRICT HOSPITAL AHMEDNAGAR,Pin- 414001",Govt Hospitals,AHMEDNAGAR
"OZONE Hospital,",Private,AKOLA
Akola,Hospitals,
"ICON Hospital, Akola",Private,AKOLA
,Hospitals,
"Govt Medical College, Akola",Govt,AKOLA
,Medical College,
Sub District Hospital,Govt,AMRAVATI
Achalpur,Hospitals,
Dhole Homoeopathic College Amravati,Private,AMRAVATI
,Medical College,
Regional Referral,Govt Hospitals,AMRAVATI
Services Hospital,,
Amravati,,
"BEST HOSPITAL,",Private Hospitals,AMRAVATI
"WALGAON ROAD, AMRAVATI",,
Panjabrao Deshmukh Medical College Amravati,Private Medical College,AMRAVATI
MGM College Hospital Aurangabad,Private Hospitals,AURANGABAD
"GMCH Medicine building ,Aurangabad",Govt Hospitals,AURANGABAD
"Dhoot Hospital ,",Private,AURANGABAD
Aurangabad,Hospitals,
Womens Hospital,Govt,BEED
Ambajogai,Hospitals,
SRTR GMC Ambajogai,Govt,BEED
,Medical College,
DH Beed,Govt,BEED
,Hospitals,
"Covid Hospital ( New MCH Wing Building) , General Hospital",Govt Hospitals,BHANDARA
"Campus, Bhandara",,
Silvercity Hospital,Private,BULDHANA
Khamgaon,Hospitals,
SDH Shegaon,Govt,BULDHANA
,Hospitals,
Aashirwad Hospital,Private,BULDHANA
Buldana,Hospitals,
GH Khamgaon,Govt,BULDHANA
,Hospitals,
Mehtre Hospital,Private,BULDHANA
Buldhana,Hospitals,
"Laddhad Hospital,",Private,BULDHANA
Buldana,Hospitals,
Multispeciality,Private,BULDHANA
Hospital Mehkar,Hospitals,
Rite Care Hospital,Private,BULDHANA
Malkapur,Hospitals,
Life Line Hospital,Private,BULDHANA
Khamgaon,Hospitals,
"Womens Hospital,",Govt Hospitals,BULDHANA
"New Building, Buldhana",,
"Shivji Hospital & Eeg Center, Chandrapur",Private Hospitals,CHANDRAPUR
"Government Medical College & Hospital, Chandrapur",Govt Medical College,CHANDRAPUR
Christ Charitable,Private Hospitals,CHANDRAPUR
Hospital (100 Bedeed),,
Manvatkar Multi,Private,CHANDRAPUR
Specialty Hospital,Hospitals,
"Shri Bhausaheb Hire Government Medical College, Dhule",Govt Medical College,DHULE
GNM Nursing School DH Gadchiroli,Govt Hospitals,GADCHIROLI
DH Gadchiroli,Govt,GADCHIROLI
,Hospitals,
GMC & KTS Hospital,Govt,GONDIA
Gondia,Hospitals,
New Gondia Hospital,Private,GONDIA
Gondia,Hospitals,
Central Hospital,Private,GONDIA
Gondia,Hospitals,
Gondia Care Hospital,Private,GONDIA
Gondia,Hospitals,
Sahyog Hospital,Private,GONDIA
Gondia,Hospitals,
corona hospital near,Govt,HINGOLI
bus stand,Hospitals,
"District Hospital,",Govt,HINGOLI
Hingoli,Hospitals,
"GOLD CITY HOSPITAL, JALGAON",Private Hospitals,JALGAON
DR. U. PATIL,Private,JALGAON
MEDICAL COLLEGE HOSPITAL,Medical College,
GANPATI HOSPITALJALGAON,Private Hospitals,JALGAON
Divisional Railway Hospital,Central,JALGAON
,Ministry Hospital,
"Government Medical College, Jalgaon",Govt,JALGAON
,Medical,
,College,
Vivekanand Hospital,Private,JALNA
,Hospitals,
Annex building D.H.,Govt,JALNA
JALNA,Hospitals,
COVID-19 HOSPITAL DH JALNA,Govt Hospitals,JALNA
D Y Patil Hospital kolhapur,Private,KOLHAPUR
,Medical,
,College,
Aster Aadhar,Private,KOLHAPUR
Hospital,Hospitals,
"Rajshree Shahu Goverment Medical college ,Kolhapur",Govt Medical College,KOLHAPUR
Latur Super Sepciality,Private,LATUR
Hospital,Hospitals,
General Hospital,Govt,LATUR
Udgir,Hospitals,
Vivekanand Cardiac & Superspeciality Hospital,Private Hospitals,LATUR
MIMSR Medical College Latur,Private,LATUR
,Medical College,
VILASRAO,Govt Medical College,LATUR
"DESHMUKH GOVERNMENT INSTITUTE OF MEDICAL SCIENCES, LATUR",,
HOLY FAMILY,Private,MUMBAI
HOSPITAL,Hospitals,
SRV HOSPITAL-,Private,MUMBAI
GOREGAON,Hospitals,
Breach candy,Private,MUMBAI
,Hospitals,
kem hospital,Govt,MUMBAI
,Medical College,
NIRON HOSPITAL,Private,MUMBAI
,Hospitals,
S. L. RAHEJA,Private,MUMBAI
HOSPITAL,Hospitals,
"Lilavati Hospital and Research Centre,",Private Hospitals,MUMBAI
sion hospital,Govt,MUMBAI
,Medical College,
SAI HOSPITAL,Private,MUMBAI
,Hospitals,
TATA MEMORIAL,Private,MUMBAI
HOSPITAL,Hospitals,
Wockhardt Hospital,Private,MUMBAI
,Hospitals,
MASINA HOSPITAL,Private,MUMBAI
,Hospitals,
Jaslok Hospital,Private,MUMBAI
,Hospitals,
KOHINOOR HOSPITAL,Private,MUMBAI
,Hospitals,
Race Course Jumbo Facility – GS (Phase II),Govt Hospitals,MUMBAI
JAGJIVAN RAM HOSPITAL,Central,MUMBAI
,Ministry Hospital,
BHATIA HOSPITAL,Private,MUMBAI
,Hospitals,
Seven Hill Reliance,Private,MUMBAI
Hospital,Hospitals,
Global Hospitals,Private,MUMBAI
,Hospitals,
