AIIMS,Dedicated COVID Hospitals (DCH),Raipur
Mana Hospital,Dedicated COVID Hospitals (DCH),Raipur
Dr. BR Ambedkar Memorial Hospital,Dedicated COVID Hospitals (DCH),Raipur
"Medical College Hospital, Ambikapur",Dedicated COVID Hospitals (DCH),Surguja
Medical College Hospital,Dedicated COVID Hospitals (DCH),Rajnandgaon
"Medical College Hospital, Jagdalpur",Dedicated COVID Hospitals (DCH),Bastar
Medical College Hospital,Dedicated COVID Hospitals (DCH),Raigarh
District Hospital,Dedicated COVID Hospitals (DCH),Bilaspur
MCH Hospital,Dedicated COVID Health Center (DCHC),Baloda Bazar-Bhatapara
MCH Hospital,Dedicated COVID Health Center (DCHC),Surajpur
MCH Hospital Geedam,Dedicated COVID Health Center (DCHC),Dantewada*
ESIC Hospital,Dedicated COVID Health Center (DCHC),Korba*
District Hospital,Dedicated COVID Health Center (DCHC),Balod
District Hospital,Dedicated COVID Health Center (DCHC),Kondagaon
College Building,Dedicated COVID Health Center (DCHC),Kanker
District Hospital,Dedicated COVID Health Center (DCHC),Narayanpur
MCH,Dedicated COVID Health Center (DCHC),Mungeli
New Trauma Centre,Dedicated COVID Health Center (DCHC),Janjgir Champa
"SECL Hospital,Baikunthpur",Dedicated COVID Health Center (DCHC),Koriya
MCH,Dedicated COVID Health Center (DCHC),Jashpur
Livelihood College,Dedicated COVID Health Center (DCHC),Bijapur
MCH,Dedicated COVID Health Center (DCHC),Sukma
CHC Wadrafnagar,Dedicated COVID Health Center (DCHC),Balrampur
Livelihood,Dedicated COVID Health Center (DCHC),Gariyaband
Shri Shankaracharya Medical College,Dedicated COVID Health Center (DCHC),Durg
"Hospital, Bhilai",,
Mission Hospital,Dedicated COVID Health Center (DCHC),Dhamtari
RLC Hospital,Dedicated COVID Health Center (DCHC),Mahasamund
Sai Sanjivani Hospital Kawardha,Dedicated COVID Health Center (DCHC),Kabirdham
SRS Hospital,Dedicated COVID Health Center (DCHC),Bemetara
"ESIC, Hospital",Dedicated COVID Health Center (DCHC),Raipur
Sports Hostel Near Science College,Covid Care Centre,Raipur
Jainam Bhawan Near Airport,Covid Care Centre,Raipur
Hotel Sagar,Covid Care Centre,Balodabazar
Hotel Gaurav Pride,Covid Care Centre,Balodabazar
Hotel Park Plaza,Covid Care Centre,Balodabazar
Hotel Maruti Inn,Covid Care Centre,Balodabazar
Tribal Hostel,Covid Care Centre,Balodabazar
Aashray sthal (Rainbasera) Gariyaband,Covid Care Centre,Gariyaband
Livelihood collage,Covid Care Centre,Gariyaband
Livelihood College Rudri Dhamtari,Covid Care Centre,Dhamtari
Collectorate Compisite Building,Covid Care Centre,Dhamtari
Anandam Palace Mahasamund,Covid Care Centre,Mahasamund
Shankrachary Bhawan Mahasamund,Covid Care Centre,Mahasamund
"Agrawaal Bhawan, dhamdhanaka Durg",Covid Care Centre,Durg
"Hotel Abhinandan, Pulgaon Road, near Shivnath Bridge, Durg",Covid Care Centre,Durg
"Hotel Anand Mangalam, Pulgaon Road, near Shivnath Bridge, Durg",Covid Care Centre,Durg
Mahadev Bhawan Balod,Covid Care Centre,Balod
Sahu Sadan Dallirajhara,Covid Care Centre,Balod
Mangal Bhawan Dallirajhara,Covid Care Centre,Balod
Jalaram Bhawan Dallirajhara,Covid Care Centre,Balod
ITI Collage Gunderdehi,Covid Care Centre,Balod
Samudaik Bhawan Gunderdehi,Covid Care Centre,Balod
Samudaik Bhawan Gunderdehi,Covid Care Centre,Balod
ITI Bhawan ( Collage & Hostel) Danora Gurur,Covid Care Centre,Balod
Samudaik Bhawan Gurur,Covid Care Centre,Balod
ITI Bhawan ( Hostel) Dondi Lohara,Covid Care Centre,Balod
"Boys Hostel, Livelihood College,VILLAGE-Chorbhatti, Bemetara",Covid Care Centre,Bemetara
United Hospital Old Bus Stand pvt Hospital Rajnandgaon,Covid Care Centre,Rajnadgaon
Navoday Vidyalay dongargarh,Covid Care Centre,Rajnadgaon
Eklavya chhatravas Pendri Rajnandgaon,Covid Care Centre,Rajnadgaon
Parakh Nurshing Home,Covid Care Centre,Rajnadgaon
Shri Ram Hospital Rajnandgan,Covid Care Centre,Rajnadgaon
Jeevan Rekha Hospital,Covid Care Centre,Rajnadgaon
"MAHARAJPUR AASHRAM,KAWARDHA(7 KM AWAY FROM ECTC)",Covid Care Centre,Kawardha
FISHERIES COLLEGE KAWARDHA (5 KM AWAY FROM ECTC ),Covid Care Centre,Kawardha
Mahadev Hospital,Covid Care Centre,Bilaspur
Prayas Hostel,Covid Care Centre,Bilaspur
Kedia Dharmshala,Covid Care Centre,Bilaspur
Chitrakut Hostel Pt. Sunder Lal Sharma,Covid Care Centre,Bilaspur
Govt Mahamaya College Ratanpur,Covid Care Centre,Bilaspur
"Kasturba Gandhi Awasiya Vidyalay, Jareli",Covid Care Centre,Bilaspur
Mahamaya Mangal Bhawan Gobripat,Covid Care Centre,Bilaspur
Agriculture Hostel,Covid Care Centre,Bilaspur
Agriculture Hostel,Covid Care Centre,Bilaspur
Agriculture Hostel,Covid Care Centre,Bilaspur
Agriculture Hostel,Covid Care Centre,Bilaspur
Agriculture Hostel,Covid Care Centre,Bilaspur
HOTEL PUNEET MUNGELI,Covid Care Centre,Mungeli
Aakancha aawasiya parisar,Covid Care Centre,Janjgir Champa
Pre Metric Girls Hostel Baramkela,Covid Care Centre,Raigarh
Sanskriti Bhawan Saria,Covid Care Centre,Raigarh
Hotel Shree Om Saranggarh,Covid Care Centre,Raigarh
Rain Basera Saranggarh,Covid Care Centre,Raigarh
Boys Hostel Pusour,Covid Care Centre,Raigarh
Girls Hostel Pusour,Covid Care Centre,Raigarh
Rambagh Marriage Garden Raigarh,Covid Care Centre,Raigarh
Eden Garden Marriage Hall Raigarh,Covid Care Centre,Raigarh
"Pre Metric Boys Hostel Thakurdiya, Kharasiya",Covid Care Centre,Raigarh
Post Metric Girls Hostel Tamnaar,Covid Care Centre,Raigarh
Pre Metric Boys Hostel Ghargora,Covid Care Centre,Raigarh
"Utkal Brahmin Dharmashala, Gharghora",Covid Care Centre,Raigarh
"Sanskriti Bhawan Ward No-4, Lailunga",Covid Care Centre,Raigarh
"Mangal Bhavan Ward No-4, Lailunga",Covid Care Centre,Raigarh
"Boys Hostel Ward No-4, Lailunga",Covid Care Centre,Raigarh
"Gurukul Dayanand vaidic adivasi balak Ashram, Salkhiya,",Covid Care Centre,Raigarh
Lailunga,,
"Birhor Ashram, Dharamjaigarh",Covid Care Centre,Raigarh
"Ursooline English Medium School, Dharamjaigarh",Covid Care Centre,Raigarh
"Mangal Bhavan, Dharamjaigarh",Covid Care Centre,Raigarh
"Krada Parishar, Dharamjaigarh",Covid Care Centre,Raigarh
"Boys Hostel, Dharamjaigarh",Covid Care Centre,Raigarh
